A M,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A M,2,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
A M,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
A M,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
A M,0,1,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0
A M,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
A M,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0
A M,0,0,0,10,4,1,0,0,0,0,0,0,0,0,0,0,0
A M,0,0,0,0,0,1,8,0,2,0,0,0,0,0,0,0,0
A M,0,0,0,2,4,1,8,0,0,0,0,0,0,0,0,0,0
A M,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
A M,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
A M,0,0,0,0,4,1,8,0,2,0,0,0,0,0,0,0,0
A M,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
A M,0,0,0,0,0,1,8,0,6,0,0,0,0,0,0,0,0
A M,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0
A M,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0,0
A M,0,0,0,0,0,0,0,0,1,0,0,4,2,0,0,0,0
A M,0,0,0,0,0,0,0,0,1,0,0,8,2,0,0,0,0
A M,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,0,0
A M,0,0,0,0,0,0,0,0,0,0,0,8,2,1,0,0,0
A M,0,0,0,0,0,0,0,0,7,0,0,8,0,0,0,0,0
A M,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,8,0
A M,0,0,0,0,0,0,0,0,5,0,0,8,2,0,0,0,0
A M,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0
A M,0,0,0,0,0,0,0,0,1,0,0,12,2,0,0,0,0
A M,0,0,0,0,0,0,0,0,0,0,0,12,2,1,0,0,0
A M,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,8,0
A M,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,10,0
A M,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,4
A# M,12,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A# M,4,2,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0
A# M,4,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0
A# M,0,0,1,0,10,4,0,0,0,0,0,0,0,0,0,0,0
A# M,0,0,0,0,10,4,1,0,0,0,0,0,0,0,0,0,0
A# M,0,0,0,0,2,4,1,8,0,0,0,0,0,0,0,0,0
A# M,0,0,0,0,0,4,1,8,0,2,0,0,0,0,0,0,0
A# M,0,0,0,0,0,0,1,8,0,6,0,0,0,0,0,0,0
A# M,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0
A# M,0,0,0,0,0,0,0,0,0,7,0,0,8,0,0,0,0
A# M,0,0,0,0,0,0,0,0,0,5,0,0,8,2,0,0,0
A# M,0,0,0,0,0,0,0,0,0,1,0,0,12,2,0,0,0
A# M,0,0,0,0,0,0,0,0,0,0,0,0,12,2,1,0,0
A# M,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,8
A# M,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,10
B M,0,12,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
B M,0,4,2,1,0,8,0,0,0,0,0,0,0,0,0,0,0
B M,0,4,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0
B M,0,0,0,1,0,10,4,0,0,0,0,0,0,0,0,0,0
B M,0,0,0,0,0,10,4,1,0,0,0,0,0,0,0,0,0
B M,0,0,0,0,0,2,4,1,8,0,0,0,0,0,0,0,0
B M,0,0,0,0,0,0,4,1,8,0,2,0,0,0,0,0,0
B M,0,0,0,0,0,0,0,1,8,0,6,0,0,0,0,0,0
B M,0,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0
B M,0,0,0,0,0,0,0,0,0,0,7,0,0,8,0,0,0
B M,0,0,0,0,0,0,0,0,0,0,5,0,0,8,2,0,0
B M,0,0,0,0,0,0,0,0,0,0,1,0,0,12,2,0,0
B M,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,1,0
C M,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C M,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
C M,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0
C M,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
C M,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0
C M,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0
